Size/Type: 	Huge Outsider
Hit Dice: 	15d8+105 (172 hp)
Initiative: 	+6
Speed: 	40 ft. (8 squares), fly 90 ft. (good)
Armor Class: 	26 (-2 size, +2 Dex, +16 natural), touch 10, flat-footed 24
Base Attack/Grapple: 	+15/+33
Attack: 	Hoof +23 melee (2d6+10 plus 1d4 fire)
Full Attack: 	2 hooves +23 melee (2d6+10 plus 1d4 fire) and bite +18 melee (2d6+5)
Space/Reach: 	15 ft./10 ft.
Special Attacks: 	Flaming hooves, smoke
Special Qualities: 	Astral projection, darkvision 60 ft., etherealness
Saves: 	Fort +16, Ref +11, Will +10
Abilities: 	Str 31, Dex 14, Con 24, Int 16, Wis 12, Cha 12
Skills: 	Bluff +19, Concentration +25, Diplomacy +5, Disguise +1 (+3 acting), Intimidate +21, Knowledge (arcana) +21, Knowledge (the planes) +21, Listen +21, Move Silently +20, Search +21, Sense Motive +19, Spot +21, Survival +19 (+21 on other planes and following tracks)
Feats: 	Alertness, Cleave, Improved Initiative, Power Attack, Run, Track
Environment: 	A neutral evil plane
Organization: 	Solitary
Challenge Rating: 	11
Treasure: 	None
Alignment: 	Always neutral evil
Advancement: 	—
Level Adjustment: 	+4 (cohort)
