Size/Type:	Medium humanoid (elf)
Hit Dice:	4d6+10 (25hp)
Initiative:	+3
Speed:	35 ft.
Armor Class:	18 (+3 Dex, +3 armor, +2 Wis), touch 15, flat-footed 15
Base Attack/Grapple:	+3/+4
Attack:	Mwk rapier +7 melee (1d6+1/18–20 plus poison) or dagger +6 melee (1d4+1/19–20 plus poison)
Full Attack:	Mwk rapier +7 melee (1d6+1/18–20 plus poison) or dagger +6 melee (1d4+1/19–20 plus poison)
Space/Reach:	5ft./5ft.
Special Attacks:	Poison (drow poison, DC 13, unconscious 1 minute/unconscious 2d4 hours), sudden strike +2d6, 1/day—dancing lights, darkness, faerie fire
Special Qualities:	Darkvision 120ft., immune to sleep, spell resistance 15, Light Blindness, Sudden Strike, Great Leap, Ki Power, Ghost Step, ki power 4/day, poison use, trapfinding
Saves:	Fort +3, Ref +7, Will +3
Abilities:	Str 12, Dex 17, Con 14, Int 12, Wis 14, Cha 10
Skills:	Bluff +7, Diplomacy +4, Disguise +0 (+2 acting), Hide +10, Intimidate +2, Jump +7, Listen +11, Move Silently +10, Search +3, Sense Motive +9, Spot +11, Tumble +10
Feats:	Dash*, Weapon Finesse
Environment:	
Organization:	
Challenge Rating:	5
Treasure:	 +1 leather armor, masterwork rapier, dagger, amulet of health +2, 3 doses of drow poison, 2 bags of caltrops, 2 smokesticks, elixir of hiding, elixir of sneaking, potion of cure moderate wounds
Alignment:	NE
Advancement:	
Level Adjustment:	+1
