Size/Type:	Medium Aberration
Hit Dice:	4d8+24 (42 hp)
Initiative:	+1
Speed:	10 ft. (2 squares), swim 20 ft.
Armor Class:	19 (+1 Dex, +8 natural), touch 11, flat-footed 18
Base Attack/Grapple:	+3/+3
Attack:	Bite +4 melee (1) or spittle +4 ranged touch (1d4 acid plus blindness)
Full Attack:	6 bites +4 melee (1) and spittle +4 ranged touch (1d4 acid plus blindness)
Space/Reach:	5 ft./5 ft.
Special Attacks:	Gibbering, spittle, improved grab, blood drain, swallow whole, ground manipulation
Special Qualities:	Amorphous, damage reduction 5/bludgeoning, darkvision 60 ft.
Saves:	Fort +7, Ref +4, Will +5
Abilities:	Str 10, Dex 13, Con 22, Int 4, Wis 13, Cha 13
Skills:	Listen +4, Spot +9, Swim +8
Feats:	Lightning Reflexes, Weapon Finesse
Environment:	Underground
Organization:	Solitary
Challenge Rating:	5
Treasure:	None
Alignment:	Usually neutral
Advancement:	5-12 HD (Large)
Level Adjustment:	—
