Size/Type:	Large Magical Beast
Hit Dice:	3d10+12 (28 hp)
Initiative:	+0
Speed:	30 ft. (6 squares), burrow 20 ft.
Armor Class:	18 (-1 size, +9 natural), touch 9, flat-footed 18
Base Attack/Grapple:	+3/+12
Attack:	Bite +7 melee (2d6+7 plus 1d4 acid)
Full Attack:	Bite +7 melee (2d6+7 plus 1d4 acid)
Space/Reach:	10 ft./5 ft.
Special Attacks:	Improved grab, spit acid
Special Qualities:	Darkvision 60 ft., low-light vision, tremorsense 60 ft.
Saves:	Fort +6, Ref +3, Will +2
Abilities:	Str 21, Dex 10, Con 17, Int 1, Wis 13, Cha 6
Skills:	Climb +8, Listen +6, Spot +3
Feats:	Alertness, Toughness
Environment:	Warm plains
Organization:	Solitary or cluster (2-4)
Challenge Rating:	3
Treasure:	None
Alignment:	Always neutral
Advancement:	4 HD (Large); 5-9 HD (Huge)
Level Adjustment:	—
