Size/Type:	Medium Outsider (Extraplanar, Earth)
Hit Dice:	7d8+17 (48 hp)
Initiative:	0
Speed:	20 ft. (4 squares), burrow 20 ft.
Armor Class:	24 (+14 natural), touch 10, flat-footed 24
Base Attack/Grapple:	+7/+10
Attack:	Bite +10 melee (4d6+3)
Full Attack:	Bite +10 melee (4d6+3) and 3 claws +8 melee (1d4+1)
Space/Reach:	5 ft./5 ft.
Special Attacks:	—
Special Qualities:	All-around vision, earth glide, damage reduction 5/bludgeoning, darkvision 60 ft., immunity to cold and fire, resistance to electricity 10, tremorsense 60 ft.
Saves:	Fort +7, Ref +5, Will +5
Abilities:	Str 17, Dex 10, Con 15, Int 10, Wis 11, Cha 10
Skills:	Hide +10, Intimidate +10, Knowledge (dungeoneering) +10, Listen+10, Move Silently +10, Search +10, Spot +10, Survival+10 (+12following tracks or underground)
Feats:	CleaveB, Multiattack, Power Attack, Toughness
Environment:	Elemental Plane of Earth
Organization:	Solitary, pair, or cluster (3-5)
Challenge Rating:	6
Treasure:	None
Alignment:	Usually neutral
Advancement:	8-14 HD (Medium)
Level Adjustment:	—
