Size/Type:	Large Outsider (Extraplanar, Earth)
Hit Dice:	15d8+63 (130 hp)
Initiative:	0
Speed:	20 ft. (4 squares), burrow 20 ft.
Armor Class:	25 (-1 size, +16 natural), touch 9, flat-footed 25
Base Attack/Grapple:	+15/+26
Attack:	Bite +21 melee (4d8+7)
Full Attack:	Bite +21 melee (4d8+7) and 3 claws +19 melee (1d6+3)
Space/Reach:	10 ft./10 ft.
Special Attacks:	—
Special Qualities:	All-around vision, earth glide, damage reduction 5/bludgeoning, darkvision 60 ft., immunity to cold and fire, resistance to electricity 10, tremorsense 60 ft.
Saves:	Fort +13, Ref +9, Will +9
Abilities:	Str 25, Dex 10, Con 19, Int 10, Wis 11, Cha 10
Skills:	Hide +14, Intimidate +18, Knowledge (dungeoneering) +18, Listen+18, Move Silently +18, Search +22, Spot +22, Survival+18 (+20following tracks or underground)
Feats:	Awesome Blow, CleaveB, Great Cleave, Improved Bull Rush, Multiattack, Power Attack, Toughness
Environment:	Elemental Plane of Earth
Organization:	Solitary, pair, or party (6-11)
Challenge Rating:	8
Treasure:	None
Alignment:	Usually neutral
Advancement:	16-21 HD (Large); 22-45 HD (Huge)
Level Adjustment:	—
