Size/Type:	Large Giant (Fire)
Hit Dice:	15d8+75 (142 hp)
Initiative:	-1
Speed:	30 ft. in half-plate armor (6 squares); base speed 40 ft.
Armor Class:	23 (-1 size, -1 Dex, +8 natural, +7 half-plate armor), touch 8, flat-footed 23
Base Attack/Grapple:	+11/+25
Attack:	Greatsword +20 melee (3d6+15) or slam +20 melee (1d4+10) or rock +10 ranged (2d6+10 plus 2d6 fire)
Full Attack:	Greatsword +20/+15/+10 melee (3d6+15) or 2 slams +20 melee (1d4+10) or rock +10 ranged (2d6+10 plus 2d6 fire)
Space/Reach:	10 ft./10 ft.
Special Attacks:	Rock throwing
Special Qualities:	Immunity to fire, low-light vision, rock catching, vulnerability to cold
Saves:	Fort +14, Ref +4, Will +9
Abilities:	Str 31, Dex 9, Con 21, Int 10, Wis 14, Cha 11
Skills:	Climb +9, Craft (any one) +6, Intimidate +6, Jump +9, Spot +14
Feats:	Cleave, Great Cleave, Improved Overrun, Improved Sunder, Iron Will, Power Attack
Environment:	Warm mountains
Organization:	Solitary, gang (2-5), band (6-9 plus 35% noncombatants plus 1 adept or cleric of 1st or 2nd level), hunting/raiding party (6-9 plus 1 adept or sorcerer of 3rd-5th level plus 2-4 hell hounds and 2-3 trolls or ettins), or tribe (21-30 plus 1 adept, cleric, or sorcerer of 6th or 7th level plus 12-30 hell hounds, 12-22 trolls, 5-12 ettins, and 1-2 young red dragons)
Challenge Rating:	10
Treasure:	Standard
Alignment:	Often lawful evil
Advancement:	By character class
Level Adjustment:	+4
