Size/Type:	Huge Undead
Hit Dice:	12d12 (78 hp)
Initiative:	+7
Speed:	60 ft. (12 squares)
Armor Class:	16 (-2 size, +3 Dex, +3 natural, +2 deflection), touch 13, flat-footed 13
Base Attack/Grapple:	+6/+19
Attack:	Talons +9 melee (2d8+5)
Full Attack:	Talons +9 melee (2d8+5) and 2 claws +4 melee (1d8+2) and bite +4 melee (2d6+2)
Space/Reach:	15 ft./10 ft.
Special Attacks:	—
Special Qualities:	Damage reduction 5/bludgeoning, darkvision 60 ft., immunity to cold, undead traits
Saves:	Fort +6, Ref +9, Will +10
Abilities:	Str 21, Dex 17, Con Ø, Int Ø, Wis 10, Cha 1
Feats:	Improved Initiative
Environment:	Warm forests
Organization:	Any
Challenge Rating:	6
Treasure:	None
Alignment:	Always neutral evil
Advancement:	13-16 HD (Huge); 17-20 HD (Gargantuan)
Level Adjustment:	—
